ind,T,P,SMILES,CO2-exp,new_cation,new_anion,group
0,228.2,690.0,CCCCCCCCn1cc[n+](C)c1.O=S(=O)(NS(=O)(=O)C(F)(F)F)C(F)(F)F,0.7306,CCCCCCCCn1cc[n+](C)c1,O=S(=O)(NS(=O)(=O)C(F)(F)F)C(F)(F)F,CCCCCCCCn1cc[n+](C)c1.O=S(=O)(NS(=O)(=O)C(F)(F)F)C(F)(F)F
1,228.2,540.0,CCCCCCCCn1cc[n+](C)c1.O=S(=O)(NS(=O)(=O)C(F)(F)F)C(F)(F)F,0.6439,CCCCCCCCn1cc[n+](C)c1,O=S(=O)(NS(=O)(=O)C(F)(F)F)C(F)(F)F,CCCCCCCCn1cc[n+](C)c1.O=S(=O)(NS(=O)(=O)C(F)(F)F)C(F)(F)F
2,228.2,510.0,CCCCCCCCn1cc[n+](C)c1.O=S(=O)(NS(=O)(=O)C(F)(F)F)C(F)(F)F,0.6268,CCCCCCCCn1cc[n+](C)c1,O=S(=O)(NS(=O)(=O)C(F)(F)F)C(F)(F)F,CCCCCCCCn1cc[n+](C)c1.O=S(=O)(NS(=O)(=O)C(F)(F)F)C(F)(F)F
3,228.2,500.0,CCCCCCCCn1cc[n+](C)c1.O=S(=O)(NS(=O)(=O)C(F)(F)F)C(F)(F)F,0.6173,CCCCCCCCn1cc[n+](C)c1,O=S(=O)(NS(=O)(=O)C(F)(F)F)C(F)(F)F,CCCCCCCCn1cc[n+](C)c1.O=S(=O)(NS(=O)(=O)C(F)(F)F)C(F)(F)F
4,228.2,310.0,CCCCCCCCn1cc[n+](C)c1.O=S(=O)(NS(=O)(=O)C(F)(F)F)C(F)(F)F,0.4725,CCCCCCCCn1cc[n+](C)c1,O=S(=O)(NS(=O)(=O)C(F)(F)F)C(F)(F)F,CCCCCCCCn1cc[n+](C)c1.O=S(=O)(NS(=O)(=O)C(F)(F)F)C(F)(F)F
5,228.2,210.0,CCCCCCCCn1cc[n+](C)c1.O=S(=O)(NS(=O)(=O)C(F)(F)F)C(F)(F)F,0.3558,CCCCCCCCn1cc[n+](C)c1,O=S(=O)(NS(=O)(=O)C(F)(F)F)C(F)(F)F,CCCCCCCCn1cc[n+](C)c1.O=S(=O)(NS(=O)(=O)C(F)(F)F)C(F)(F)F
6,243.2,1110.0,CCCCCCCCn1cc[n+](C)c1.O=S(=O)(NS(=O)(=O)C(F)(F)F)C(F)(F)F,0.6961,CCCCCCCCn1cc[n+](C)c1,O=S(=O)(NS(=O)(=O)C(F)(F)F)C(F)(F)F,CCCCCCCCn1cc[n+](C)c1.O=S(=O)(NS(=O)(=O)C(F)(F)F)C(F)(F)F
7,243.2,850.0,CCCCCCCCn1cc[n+](C)c1.O=S(=O)(NS(=O)(=O)C(F)(F)F)C(F)(F)F,0.603,CCCCCCCCn1cc[n+](C)c1,O=S(=O)(NS(=O)(=O)C(F)(F)F)C(F)(F)F,CCCCCCCCn1cc[n+](C)c1.O=S(=O)(NS(=O)(=O)C(F)(F)F)C(F)(F)F
8,243.2,780.0,CCCCCCCCn1cc[n+](C)c1.O=S(=O)(NS(=O)(=O)C(F)(F)F)C(F)(F)F,0.5769,CCCCCCCCn1cc[n+](C)c1,O=S(=O)(NS(=O)(=O)C(F)(F)F)C(F)(F)F,CCCCCCCCn1cc[n+](C)c1.O=S(=O)(NS(=O)(=O)C(F)(F)F)C(F)(F)F
9,243.2,720.0,CCCCCCCCn1cc[n+](C)c1.O=S(=O)(NS(=O)(=O)C(F)(F)F)C(F)(F)F,0.5587,CCCCCCCCn1cc[n+](C)c1,O=S(=O)(NS(=O)(=O)C(F)(F)F)C(F)(F)F,CCCCCCCCn1cc[n+](C)c1.O=S(=O)(NS(=O)(=O)C(F)(F)F)C(F)(F)F
10,243.2,460.0,CCCCCCCCn1cc[n+](C)c1.O=S(=O)(NS(=O)(=O)C(F)(F)F)C(F)(F)F,0.4154,CCCCCCCCn1cc[n+](C)c1,O=S(=O)(NS(=O)(=O)C(F)(F)F)C(F)(F)F,CCCCCCCCn1cc[n+](C)c1.O=S(=O)(NS(=O)(=O)C(F)(F)F)C(F)(F)F
11,243.2,210.0,CCCCCCCCn1cc[n+](C)c1.O=S(=O)(NS(=O)(=O)C(F)(F)F)C(F)(F)F,0.2391,CCCCCCCCn1cc[n+](C)c1,O=S(=O)(NS(=O)(=O)C(F)(F)F)C(F)(F)F,CCCCCCCCn1cc[n+](C)c1.O=S(=O)(NS(=O)(=O)C(F)(F)F)C(F)(F)F
12,258.2,1560.0,CCCCCCCCn1cc[n+](C)c1.O=S(=O)(NS(=O)(=O)C(F)(F)F)C(F)(F)F,0.6508,CCCCCCCCn1cc[n+](C)c1,O=S(=O)(NS(=O)(=O)C(F)(F)F)C(F)(F)F,CCCCCCCCn1cc[n+](C)c1.O=S(=O)(NS(=O)(=O)C(F)(F)F)C(F)(F)F
13,258.2,1160.0,CCCCCCCCn1cc[n+](C)c1.O=S(=O)(NS(=O)(=O)C(F)(F)F)C(F)(F)F,0.5548,CCCCCCCCn1cc[n+](C)c1,O=S(=O)(NS(=O)(=O)C(F)(F)F)C(F)(F)F,CCCCCCCCn1cc[n+](C)c1.O=S(=O)(NS(=O)(=O)C(F)(F)F)C(F)(F)F
14,258.2,1070.0,CCCCCCCCn1cc[n+](C)c1.O=S(=O)(NS(=O)(=O)C(F)(F)F)C(F)(F)F,0.531,CCCCCCCCn1cc[n+](C)c1,O=S(=O)(NS(=O)(=O)C(F)(F)F)C(F)(F)F,CCCCCCCCn1cc[n+](C)c1.O=S(=O)(NS(=O)(=O)C(F)(F)F)C(F)(F)F
15,258.2,910.0,CCCCCCCCn1cc[n+](C)c1.O=S(=O)(NS(=O)(=O)C(F)(F)F)C(F)(F)F,0.4913,CCCCCCCCn1cc[n+](C)c1,O=S(=O)(NS(=O)(=O)C(F)(F)F)C(F)(F)F,CCCCCCCCn1cc[n+](C)c1.O=S(=O)(NS(=O)(=O)C(F)(F)F)C(F)(F)F
16,258.2,590.0,CCCCCCCCn1cc[n+](C)c1.O=S(=O)(NS(=O)(=O)C(F)(F)F)C(F)(F)F,0.3635,CCCCCCCCn1cc[n+](C)c1,O=S(=O)(NS(=O)(=O)C(F)(F)F)C(F)(F)F,CCCCCCCCn1cc[n+](C)c1.O=S(=O)(NS(=O)(=O)C(F)(F)F)C(F)(F)F
17,258.2,270.0,CCCCCCCCn1cc[n+](C)c1.O=S(=O)(NS(=O)(=O)C(F)(F)F)C(F)(F)F,0.1965,CCCCCCCCn1cc[n+](C)c1,O=S(=O)(NS(=O)(=O)C(F)(F)F)C(F)(F)F,CCCCCCCCn1cc[n+](C)c1.O=S(=O)(NS(=O)(=O)C(F)(F)F)C(F)(F)F
42,273.2,1990.0,CCCCCCCCn1cc[n+](C)c1.O=S(=O)(NS(=O)(=O)C(F)(F)F)C(F)(F)F,0.6015,CCCCCCCCn1cc[n+](C)c1,O=S(=O)(NS(=O)(=O)C(F)(F)F)C(F)(F)F,CCCCCCCCn1cc[n+](C)c1.O=S(=O)(NS(=O)(=O)C(F)(F)F)C(F)(F)F
43,273.2,1460.0,CCCCCCCCn1cc[n+](C)c1.O=S(=O)(NS(=O)(=O)C(F)(F)F)C(F)(F)F,0.5055,CCCCCCCCn1cc[n+](C)c1,O=S(=O)(NS(=O)(=O)C(F)(F)F)C(F)(F)F,CCCCCCCCn1cc[n+](C)c1.O=S(=O)(NS(=O)(=O)C(F)(F)F)C(F)(F)F
44,273.2,1350.0,CCCCCCCCn1cc[n+](C)c1.O=S(=O)(NS(=O)(=O)C(F)(F)F)C(F)(F)F,0.4849,CCCCCCCCn1cc[n+](C)c1,O=S(=O)(NS(=O)(=O)C(F)(F)F)C(F)(F)F,CCCCCCCCn1cc[n+](C)c1.O=S(=O)(NS(=O)(=O)C(F)(F)F)C(F)(F)F
45,273.2,1070.0,CCCCCCCCn1cc[n+](C)c1.O=S(=O)(NS(=O)(=O)C(F)(F)F)C(F)(F)F,0.4325,CCCCCCCCn1cc[n+](C)c1,O=S(=O)(NS(=O)(=O)C(F)(F)F)C(F)(F)F,CCCCCCCCn1cc[n+](C)c1.O=S(=O)(NS(=O)(=O)C(F)(F)F)C(F)(F)F
46,273.2,710.0,CCCCCCCCn1cc[n+](C)c1.O=S(=O)(NS(=O)(=O)C(F)(F)F)C(F)(F)F,0.3165,CCCCCCCCn1cc[n+](C)c1,O=S(=O)(NS(=O)(=O)C(F)(F)F)C(F)(F)F,CCCCCCCCn1cc[n+](C)c1.O=S(=O)(NS(=O)(=O)C(F)(F)F)C(F)(F)F
47,273.2,320.0,CCCCCCCCn1cc[n+](C)c1.O=S(=O)(NS(=O)(=O)C(F)(F)F)C(F)(F)F,0.1646,CCCCCCCCn1cc[n+](C)c1,O=S(=O)(NS(=O)(=O)C(F)(F)F)C(F)(F)F,CCCCCCCCn1cc[n+](C)c1.O=S(=O)(NS(=O)(=O)C(F)(F)F)C(F)(F)F
818,295.6,2000.0,CCCCCCCCn1cc[n+](C)c1.O=S(=O)(NS(=O)(=O)C(F)(F)F)C(F)(F)F,0.421,CCCCCCCCn1cc[n+](C)c1,O=S(=O)(NS(=O)(=O)C(F)(F)F)C(F)(F)F,CCCCCCCCn1cc[n+](C)c1.O=S(=O)(NS(=O)(=O)C(F)(F)F)C(F)(F)F
819,295.6,1500.0,CCCCCCCCn1cc[n+](C)c1.O=S(=O)(NS(=O)(=O)C(F)(F)F)C(F)(F)F,0.349,CCCCCCCCn1cc[n+](C)c1,O=S(=O)(NS(=O)(=O)C(F)(F)F)C(F)(F)F,CCCCCCCCn1cc[n+](C)c1.O=S(=O)(NS(=O)(=O)C(F)(F)F)C(F)(F)F
820,295.6,1000.0,CCCCCCCCn1cc[n+](C)c1.O=S(=O)(NS(=O)(=O)C(F)(F)F)C(F)(F)F,0.261,CCCCCCCCn1cc[n+](C)c1,O=S(=O)(NS(=O)(=O)C(F)(F)F)C(F)(F)F,CCCCCCCCn1cc[n+](C)c1.O=S(=O)(NS(=O)(=O)C(F)(F)F)C(F)(F)F
821,295.6,500.0,CCCCCCCCn1cc[n+](C)c1.O=S(=O)(NS(=O)(=O)C(F)(F)F)C(F)(F)F,0.148,CCCCCCCCn1cc[n+](C)c1,O=S(=O)(NS(=O)(=O)C(F)(F)F)C(F)(F)F,CCCCCCCCn1cc[n+](C)c1.O=S(=O)(NS(=O)(=O)C(F)(F)F)C(F)(F)F
822,295.6,100.0,CCCCCCCCn1cc[n+](C)c1.O=S(=O)(NS(=O)(=O)C(F)(F)F)C(F)(F)F,0.037,CCCCCCCCn1cc[n+](C)c1,O=S(=O)(NS(=O)(=O)C(F)(F)F)C(F)(F)F,CCCCCCCCn1cc[n+](C)c1.O=S(=O)(NS(=O)(=O)C(F)(F)F)C(F)(F)F
